               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 129,            0.032773,            0.010255,            0.014337,             0.81525,                   1,               0.995,              0.7591,            0.023021,           0.0046775,           0.0033642,           0.0049312,           0.0049312,           0.0049312
                 130,            0.030988,            0.011558,            0.012103,             0.81525,                   1,               0.995,              0.7591,            0.023021,           0.0046775,           0.0033642,           0.0048916,           0.0048916,           0.0048916
                 131,            0.030441,            0.009769,            0.013221,             0.80582,                   1,             0.91167,             0.57189,            0.024181,           0.0046788,           0.0033997,            0.004852,            0.004852,            0.004852
                 132,             0.03065,            0.011635,            0.011168,             0.80582,                   1,             0.91167,             0.57189,            0.024181,           0.0046788,           0.0033997,           0.0048124,           0.0048124,           0.0048124
                 133,            0.030611,            0.011474,            0.011505,             0.86343,                   1,               0.995,             0.74657,            0.023573,           0.0045447,           0.0033826,           0.0047728,           0.0047728,           0.0047728
                 134,            0.029697,            0.010069,            0.011694,             0.86343,                   1,               0.995,             0.74657,            0.023573,           0.0045447,           0.0033826,           0.0047332,           0.0047332,           0.0047332
                 135,            0.031412,            0.011109,            0.011282,             0.96009,                   1,               0.995,             0.57242,             0.02175,             0.00447,           0.0034401,           0.0046936,           0.0046936,           0.0046936
                 136,            0.031074,            0.011303,             0.01358,             0.96009,                   1,               0.995,             0.57242,             0.02175,             0.00447,           0.0034401,            0.004654,            0.004654,            0.004654
                 137,            0.029752,             0.01019,            0.015515,             0.97211,                   1,               0.995,             0.74658,            0.018793,           0.0044241,           0.0034155,           0.0046144,           0.0046144,           0.0046144
                 138,            0.030542,            0.011364,            0.013145,             0.97211,                   1,               0.995,             0.74658,            0.018793,           0.0044241,           0.0034155,           0.0045748,           0.0045748,           0.0045748
                 139,            0.028594,            0.010014,            0.015556,             0.97581,                   1,               0.995,             0.69693,            0.017498,           0.0042424,           0.0034151,           0.0045352,           0.0045352,           0.0045352
                 140,             0.02895,            0.010026,            0.012921,             0.97581,                   1,               0.995,             0.69693,            0.017498,           0.0042424,           0.0034151,           0.0044956,           0.0044956,           0.0044956
                 141,            0.030613,           0.0094381,            0.014003,             0.97566,                   1,               0.995,               0.784,            0.020069,           0.0043367,           0.0034021,            0.004456,            0.004456,            0.004456
                 142,            0.032847,            0.010608,            0.015586,             0.97566,                   1,               0.995,               0.784,            0.020069,           0.0043367,           0.0034021,           0.0044164,           0.0044164,           0.0044164
                 143,             0.03217,            0.010585,             0.01156,             0.97783,                   1,               0.995,             0.72171,            0.021373,           0.0043831,           0.0033724,           0.0043768,           0.0043768,           0.0043768
                 144,            0.034856,            0.011461,             0.01374,             0.97783,                   1,               0.995,             0.72171,            0.021373,           0.0043831,           0.0033724,           0.0043372,           0.0043372,           0.0043372
                 145,             0.03203,            0.011043,            0.014577,             0.97896,                   1,               0.995,             0.77125,            0.015798,           0.0043134,           0.0033101,           0.0042976,           0.0042976,           0.0042976
                 146,            0.026245,           0.0086983,            0.010627,             0.97896,                   1,               0.995,             0.77125,            0.015798,           0.0043134,           0.0033101,            0.004258,            0.004258,            0.004258
                 147,            0.025747,            0.012411,             0.01041,             0.97641,                   1,               0.995,             0.69664,            0.018303,           0.0045638,           0.0032175,           0.0042184,           0.0042184,           0.0042184
                 148,            0.031899,            0.010719,            0.012254,             0.97641,                   1,               0.995,             0.69664,            0.018303,           0.0045638,           0.0032175,           0.0041788,           0.0041788,           0.0041788
                 149,            0.031786,            0.010001,            0.012529,             0.82002,                   1,               0.995,             0.64694,            0.019306,           0.0047488,           0.0031533,           0.0041392,           0.0041392,           0.0041392
                 150,            0.026852,           0.0089645,            0.012261,             0.82002,                   1,               0.995,             0.64694,            0.019306,           0.0047488,           0.0031533,           0.0040996,           0.0040996,           0.0040996
                 151,            0.031293,           0.0080484,             0.01367,              0.9784,                   1,               0.995,             0.73398,            0.022481,           0.0045951,           0.0031375,             0.00406,             0.00406,             0.00406
                 152,             0.02672,           0.0090897,            0.010527,              0.9784,                   1,               0.995,             0.73398,            0.022481,           0.0045951,           0.0031375,           0.0040204,           0.0040204,           0.0040204
                 153,            0.028104,           0.0088967,           0.0093519,             0.97707,                   1,               0.995,             0.77114,            0.016387,           0.0046128,           0.0031172,           0.0039808,           0.0039808,           0.0039808
                 154,            0.032253,           0.0098894,            0.009239,             0.97707,                   1,               0.995,             0.77114,            0.016387,           0.0046128,           0.0031172,           0.0039412,           0.0039412,           0.0039412
                 155,            0.029291,            0.010447,           0.0097061,             0.97586,                   1,               0.995,             0.79614,            0.016339,           0.0044614,           0.0030848,           0.0039016,           0.0039016,           0.0039016
                 156,            0.025367,           0.0086675,           0.0099152,             0.97586,                   1,               0.995,             0.79614,            0.016339,           0.0044614,           0.0030848,            0.003862,            0.003862,            0.003862
                 157,            0.029301,            0.010846,            0.011877,             0.97604,                   1,               0.995,             0.72143,            0.018533,           0.0046786,           0.0030663,           0.0038224,           0.0038224,           0.0038224
